department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted
Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,5.0,8,0,49,0
Operations,region_22,Bachelor's,m,other,1,30,5.0,4,0,60,0
Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3.0,7,0,50,0
Sales & Marketing,region_23,Bachelor's,m,other,2,39,1.0,10,0,50,0
Technology,region_26,Bachelor's,m,other,1,45,3.0,2,0,73,0
Analytics,region_2,Bachelor's,m,sourcing,2,31,3.0,7,0,85,0
Operations,region_20,Bachelor's,f,other,1,31,3.0,5,0,59,0
Operations,region_34,Master's & above,m,sourcing,1,33,3.0,6,0,63,0
Analytics,region_20,Bachelor's,m,other,1,28,4.0,5,0,83,0
Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,5.0,5,0,54,0
Technology,region_23,Unidentified,m,sourcing,1,30,0.0,1,0,77,0
Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35,5.0,3,0,50,1
Sales & Marketing,region_4,Bachelor's,m,sourcing,1,49,5.0,5,0,49,0
Technology,region_29,Master's & above,m,other,2,39,3.0,16,0,80,0
R&D,region_2,Master's & above,m,sourcing,1,37,3.0,7,0,84,0
Operations,region_7,Bachelor's,m,other,1,37,1.0,10,0,60,0
Technology,region_2,Bachelor's,m,other,1,38,3.0,5,0,77,0
Sales & Marketing,region_31,Bachelor's,m,other,1,34,1.0,4,0,51,0
Sales & Marketing,region_31,Bachelor's,m,other,1,34,5.0,8,0,46,0
Operations,region_15,Bachelor's,m,other,1,37,3.0,9,0,59,0
Procurement,region_14,Bachelor's,m,other,1,35,3.0,7,0,75,0
Operations,region_15,Unidentified,m,sourcing,1,41,4.0,11,0,57,0
Finance,region_11,Bachelor's,f,other,1,28,3.0,4,0,63,0
Procurement,region_5,Bachelor's,m,other,1,27,0.0,1,0,70,0
Finance,region_22,Master's & above,m,sourcing,2,39,5.0,7,0,59,0
Technology,region_22,Bachelor's,m,other,1,27,5.0,3,0,83,0
Procurement,region_26,Bachelor's,m,other,1,31,5.0,4,0,68,0
Technology,region_26,Bachelor's,m,other,1,33,4.0,4,0,79,0
Analytics,region_5,Bachelor's,m,other,1,29,5.0,3,0,80,0
Sales & Marketing,region_4,Bachelor's,m,sourcing,1,26,0.0,1,0,44,0
Procurement,region_15,Bachelor's,m,sourcing,1,37,5.0,10,0,72,0
Finance,region_31,Bachelor's,m,other,2,26,1.0,2,0,61,0
Sales & Marketing,region_7,Unidentified,f,sourcing,1,24,1.0,2,0,48,0
Analytics,region_22,Bachelor's,m,other,2,27,5.0,3,0,87,0
Sales & Marketing,region_22,Bachelor's,m,other,1,40,2.0,4,0,47,0
Technology,region_28,Bachelor's,m,sourcing,1,33,4.0,4,0,75,0
Sales & Marketing,region_7,Bachelor's,f,sourcing,1,40,5.0,3,0,47,0
Sales & Marketing,region_1,Master's & above,m,other,1,42,5.0,5,0,51,0
Sales & Marketing,region_28,Bachelor's,m,sourcing,1,33,5.0,6,0,51,1
Technology,region_15,Bachelor's,m,other,1,34,3.0,10,0,80,0
Operations,region_2,Bachelor's,f,other,2,23,4.0,2,0,57,0
Sales & Marketing,region_2,Unidentified,m,other,3,24,2.0,2,0,48,0
Analytics,region_2,Bachelor's,m,other,1,44,5.0,12,0,88,0
Procurement,region_17,Bachelor's,f,sourcing,1,50,5.0,11,0,71,0
Procurement,region_13,Master's & above,f,other,1,37,4.0,4,0,71,0
Technology,region_16,Bachelor's,m,sourcing,1,40,3.0,11,0,80,0
Sales & Marketing,region_20,Bachelor's,m,sourcing,1,30,3.0,3,0,49,0
Finance,region_2,Bachelor's,m,sourcing,1,20,4.0,2,0,60,0
Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,3.0,8,0,48,0
Procurement,region_15,Bachelor's,m,sourcing,1,40,3.0,12,0,65,0
HR,region_22,Bachelor's,m,other,1,30,1.0,6,0,50,0
Operations,region_22,Bachelor's,m,other,1,39,3.0,5,0,62,0
Analytics,region_31,Bachelor's,m,other,2,26,2.0,2,0,85,0
Sales & Marketing,region_31,Bachelor's,f,other,1,29,0.0,1,0,49,0
R&D,region_22,Master's & above,m,sourcing,1,40,3.0,5,0,84,0
Sales & Marketing,region_16,Bachelor's,m,other,2,27,0.0,1,0,47,0
Sales & Marketing,region_19,Bachelor's,m,other,1,40,4.0,7,0,52,0
Sales & Marketing,region_4,Master's & above,m,other,1,50,4.0,17,0,47,1
Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3.0,3,0,53,0
Analytics,region_22,Bachelor's,f,other,1,28,0.0,1,0,80,0
Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4.0,2,0,52,0
R&D,region_26,Bachelor's,m,other,1,34,5.0,5,0,87,0
Operations,region_13,Master's & above,f,sourcing,1,31,3.0,3,0,58,0
Finance,region_22,Bachelor's,m,other,1,27,0.0,1,1,58,1
Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,0.0,1,0,61,1
Procurement,region_10,Bachelor's,m,other,1,30,4.0,6,0,75,0
Analytics,region_31,Bachelor's,m,other,1,30,3.0,7,0,84,1
Operations,region_22,Bachelor's,f,other,1,50,5.0,5,0,59,0
Technology,region_22,Master's & above,m,other,1,34,5.0,7,0,78,1
Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,1.0,12,0,52,0
Sales & Marketing,region_16,Bachelor's,m,sourcing,1,32,4.0,6,0,44,0
Sales & Marketing,region_7,Bachelor's,m,other,1,50,3.0,14,0,52,0
Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4.0,2,0,49,1
Sales & Marketing,region_27,Bachelor's,m,sourcing,2,29,1.0,5,0,51,0
Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,4.0,3,0,53,0
Analytics,region_2,Bachelor's,m,other,1,25,3.0,2,0,91,0
Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,3.0,3,0,58,1
Technology,region_2,Bachelor's,m,referred,1,47,3.0,7,0,79,0
Operations,region_4,Master's & above,m,sourcing,1,35,2.0,7,0,53,0
Sales & Marketing,region_2,Unidentified,m,sourcing,2,25,3.0,2,0,53,0
R&D,region_22,Bachelor's,m,other,1,36,4.0,8,0,82,0
Legal,region_7,Bachelor's,m,other,1,29,0.0,1,0,65,1
Operations,region_11,Master's & above,f,sourcing,1,42,5.0,11,0,60,1
HR,region_20,Bachelor's,f,sourcing,1,28,2.0,6,0,52,0
Sales & Marketing,region_2,Unidentified,m,sourcing,1,39,1.0,9,0,49,0
Procurement,region_7,Master's & above,m,sourcing,1,32,5.0,3,0,69,1
Sales & Marketing,region_31,Bachelor's,f,other,1,31,0.0,1,0,51,0
Sales & Marketing,region_2,Unidentified,f,sourcing,1,20,0.0,1,0,55,0
Analytics,region_12,Bachelor's,m,other,1,34,3.0,8,0,85,0
Procurement,region_2,Master's & above,m,sourcing,2,46,4.0,3,0,74,0
HR,region_2,Master's & above,m,other,1,47,3.0,7,0,44,0
Operations,region_2,Bachelor's,f,other,1,44,4.0,13,0,53,0
Analytics,region_14,Bachelor's,m,sourcing,1,31,4.0,4,0,86,0
Technology,region_26,Bachelor's,f,sourcing,1,23,0.0,1,0,77,0
Operations,region_2,Bachelor's,f,sourcing,1,33,3.0,5,0,57,0
Sales & Marketing,region_31,Bachelor's,m,other,1,41,3.0,12,0,52,0
Operations,region_15,Bachelor's,m,other,1,31,5.0,4,0,63,1
Operations,region_26,Bachelor's,f,other,1,37,3.0,11,0,57,0
Analytics,region_7,Bachelor's,m,sourcing,2,39,3.0,4,0,83,0
Sales & Marketing,region_7,Bachelor's,m,other,1,40,5.0,8,0,54,0
Sales & Marketing,region_28,Master's & above,m,sourcing,1,42,5.0,4,0,50,0
Operations,region_13,Bachelor's,m,other,1,35,4.0,6,0,57,1
